tag,match,similarity_score
in love,loving,0.5511929988861084
in love,smitten,0.5432450771331787
in love,fascination,0.5114352107048035
peaceful,peaceful,0.9999998807907104
morning vibes,morn,0.5665816068649292
consoling and beautiful,tearful,0.5749193429946899
consoling and beautiful,mournful,0.554543137550354
consoling and beautiful,heartfelt,0.5411335229873657
consoling and beautiful,distressing,0.5333831310272217
consoling and beautiful,sorrowful,0.5254220366477966
consoling and beautiful,distraught,0.5033098459243774
consoling and beautiful,soothing,0.5015659332275391
funky jazzy breaks,break,0.5647619962692261
positive vibes,cheerfulness,0.6255612969398499
positive vibes,wholesome,0.5739870667457581
positive vibes,cheerful,0.5338354706764221
positive vibes,cheery,0.5335029363632202
positive vibes,encouragement,0.5192424654960632
positive vibes,compliment,0.5088920593261719
positive vibes,happiness,0.5075862407684326
smile,smile,0.9999999403953552
positive,affirmative,0.6842767000198364
positive,negative,0.6032293438911438
positive,favorable,0.598728597164154
positive,beneficial,0.5049919486045837
jubilant,jubilant,1.0000001192092896
exciting,exciting,1.0
true love,love,0.7662917375564575
true love,loving,0.6071434020996094
true love,affection,0.5913681387901306
true love,romance,0.579379677772522
true love,lovemaking,0.5758641362190247
true love,soulmate,0.564720630645752
true love,loyalty,0.5553585886955261
beauty,beauty,1.0
happy days,heyday,0.6038485765457153
lovely love,lovely,0.6835456490516663
lovely love,love,0.6691293120384216
lovely love,loving,0.6370365023612976
lovely love,delightful,0.5655078887939453
lovely love,exquisite,0.559133768081665
lovely love,romantic,0.5466821193695068
lovely love,darling,0.5399604439735413
all about love,love,0.6227089166641235
all about love,affection,0.577203631401062
all about love,lovemaking,0.5766827464103699
all about love,romance,0.5522365570068359
all about love,loving,0.5139294862747192
all about love,sensuality,0.5110683441162109
quiet and pretty,pretty,0.5321642160415649
quiet and pretty,beauty,0.5297969579696655
quiet and pretty,attractiveness,0.5252088308334351
quiet and pretty,mannered,0.5201206207275391
quiet and pretty,flowery,0.5137687921524048
good humor,humorous,0.5590856671333313
good humor,laughter,0.5509562492370605
good humor,laughing,0.5419933199882507
good humor,cleverness,0.5328309535980225
stepping strong,strength,0.5641881823539734
stepping strong,sturdy,0.5362881422042847
stepping strong,strengthening,0.5173211097717285
stepping strong,footing,0.5146377086639404
morning motivation,encouragement,0.5328947305679321
angry at the world,angry,0.7282589673995972
angry at the world,anger,0.713237464427948
angry at the world,unhappiness,0.6739932298660278
angry at the world,discontent,0.6588544845581055
angry at the world,rage,0.6318296790122986
angry at the world,frustration,0.6159636378288269
angry at the world,exasperation,0.6105878353118896
heartwarming,disheartening,0.5401272773742676
heartwarming,sickening,0.5151486992835999
heartwarming,appalling,0.5125775337219238
heartwarming,horrifying,0.5065466165542603
red shoes ecstasy,ecstasy,0.6800926327705383
red shoes ecstasy,trance,0.5117202401161194
love making,lovemaking,0.9273898601531982
slow and sexy,quickness,0.5026917457580566
slow and sexy,speedy,0.5006793737411499
cheer up,cry,0.592510998249054
cheer up,depress,0.5712896585464478
cheer up,depressed,0.5658841133117676
cheer up,cheery,0.5658364295959473
cheer up,cheer,0.5345178842544556
cheer up,mourn,0.5283432006835938
cheer up,hug,0.5275099873542786
love action,action,0.7317178249359131
love action,love,0.502849280834198
simply sweet,sweetness,0.6630664467811584
simply sweet,exquisite,0.5961624383926392
simply sweet,heavenly,0.5629687309265137
simply sweet,delightful,0.5559090971946716
simply sweet,sweets,0.5544309616088867
simply sweet,pleasant,0.5470719933509827
simply sweet,picturesque,0.5469135046005249
happy songs,happy,0.5063893795013428
miserable,miserable,1.0
praise,praise,0.9999998807907104
worshipful praise,worship,0.7972155809402466
worshipful praise,praise,0.7498624324798584
worshipful praise,adoration,0.6732266545295715
worshipful praise,devotional,0.664588212966919
worshipful praise,reverence,0.6452608108520508
worshipful praise,hymn,0.6383023858070374
worshipful praise,consecration,0.6237724423408508
relaxing vibes,relaxation,0.660067081451416
relaxing vibes,soothing,0.624556303024292
relaxing vibes,tranquil,0.573307991027832
relaxing vibes,tranquility,0.5340285301208496
relaxing vibes,comfort,0.5306894779205322
relaxing vibes,massage,0.5198158025741577
joyful,joyful,0.9999998807907104
falling in love all over again,rekindle,0.5321870446205139
reason is treason,treason,0.7403734922409058
reason is treason,reason,0.5643501281738281
reason is treason,sedition,0.5349685549736023
reason is treason,traitor,0.5197889804840088
reason is treason,defection,0.5046764612197876
smiles,smiling,0.8745337724685669
smiles,smile,0.8088723421096802
smiles,grin,0.7205082178115845
smiles,happiness,0.6850416660308838
smiles,smirk,0.6605674028396606
smiles,cheerfulness,0.650320827960968
smiles,cheerful,0.6417838931083679
astonishing,astonishingly,0.7514639496803284
astonishing,remarkable,0.6977156400680542
astonishing,startling,0.692087709903717
astonishing,surprising,0.68418949842453
astonishing,amazingly,0.6744856834411621
astonishing,unbelievable,0.6558229923248291
astonishing,extraordinary,0.6468263268470764
sweet soul,soulless,0.5364478826522827
sweet soul,soulmate,0.5119328498840332
upbeat fun,cheerfulness,0.711705207824707
upbeat fun,cheerful,0.6690165400505066
upbeat fun,amusement,0.625287652015686
upbeat fun,happiness,0.6146491169929504
upbeat fun,enthusiasm,0.5861840844154358
upbeat fun,playful,0.5805571675300598
upbeat fun,cheery,0.5781269669532776
angelic,angelic,1.0000003576278687
refreshing,refreshing,1.0
where happiness lives,happiness,0.6874969601631165
where happiness lives,joy,0.5750879645347595
where happiness lives,cheerfulness,0.5484711527824402
where happiness lives,cheerful,0.5105407238006592
where happiness lives,solace,0.5041714310646057
dreamy sun,sun,0.692610502243042
dreamy sun,sunshine,0.6169748306274414
dreamy sun,sunset,0.5697817802429199
dreamy sun,starlight,0.5532243847846985
dreamy sun,starry,0.5284390449523926
dreamy sun,sunny,0.5169466137886047
sweetness and light,sweetness,0.7591208219528198
sweetness and light,sweets,0.5706853866577148
sweetness and light,sunshine,0.5476043224334717
sweetness and light,sugar,0.5442137718200684
sweetness and light,gentleness,0.529883861541748
sweetness and light,nectar,0.5292330384254456
sweetness and light,sensuality,0.5191514492034912
nothing hurts like this does,painful,0.5522617101669312
nothing hurts like this does,pain,0.5470401048660278
nothing hurts like this does,hurt,0.5469037890434265
nothing hurts like this does,hurting,0.5464689135551453
nothing hurts like this does,agony,0.5388919711112976
nothing hurts like this does,pains,0.5230544209480286
nothing hurts like this does,aching,0.5023651123046875
heart filled,heartfelt,0.589789092540741
heart filled,tearful,0.5537299513816833
heart filled,happy,0.5528033971786499
heart filled,smitten,0.5281105637550354
heart filled,heartily,0.5209646224975586
heart filled,heartless,0.5204918384552002
heart filled,heartache,0.5125346183776855
makes me dance,dance,0.5136530995368958
murder ballads,ballad,0.7169052958488464
murder ballads,confessional,0.5118799209594727
murder ballads,homicide,0.510142982006073
pleasant,pleasant,1.0
good for mood,soothing,0.5025221109390259
soulful christmas,festive,0.5911557674407959
beautiful and magical,magical,0.6609642505645752
beautiful and magical,pretty,0.5987960696220398
beautiful and magical,lovely,0.5981360077857971
beautiful and magical,exquisite,0.579861044883728
beautiful and magical,magnificent,0.5608656406402588
beautiful and magical,marvelous,0.5566873550415039
beautiful and magical,picturesque,0.5545384883880615
sleep well,nap,0.6367339491844177
make me wanna scream,shriek,0.6286779642105103
make me wanna scream,scream,0.6266406178474426
make me wanna scream,frighten,0.5831992030143738
make me wanna scream,frightful,0.5126316547393799
make me wanna scream,screaming,0.5110591650009155
funky love,love,0.5693293809890747
funky love,funk,0.5182245969772339
smooth and sexy,smoothness,0.5728299617767334
let's love,love,0.598214864730835
let's love,adore,0.5581778287887573
let's love,loving,0.5278702974319458
glam love,love,0.6119409799575806
glam love,loving,0.5005407333374023
chilling and rocking,relaxation,0.5838369131088257
chilling and rocking,soothing,0.5402185320854187
chilling and rocking,rock,0.529420793056488
chilling and rocking,leisurely,0.5190111398696899
chilling and rocking,lounge,0.517776608467102
chilling and rocking,rapping,0.5095510482788086
chilling and rocking,rhythm,0.507173478603363
good mornings,greeting,0.5892859101295471
good mornings,morn,0.529432475566864
the glamorous life,luxury,0.5149713754653931
the glamorous life,matrimony,0.5137574076652527
cheerful,cheerful,1.000000238418579
superior,superior,1.0000001192092896
it's alright baby,apologize,0.5733046531677246
it's alright baby,apology,0.532306432723999
love romantic delicate,romantic,0.6133465766906738
love romantic delicate,fragrant,0.540519654750824
love romantic delicate,sweetie,0.5317208170890808
love romantic delicate,caress,0.528447687625885
love romantic delicate,romanticism,0.5231524705886841
love romantic delicate,romance,0.5203130841255188
love romantic delicate,sensual,0.5198136568069458
aitch epic,epic,0.6180005669593811
aitch epic,illustrious,0.5047870874404907
mood sad but not sorry,somber,0.5989327430725098
mood sad but not sorry,cheerful,0.5877708196640015
mood sad but not sorry,melancholy,0.5617650747299194
mood sad but not sorry,melancholic,0.5472148656845093
mood sad but not sorry,cheery,0.5353987812995911
mood sad but not sorry,depressive,0.5304130911827087
mood sad but not sorry,depressed,0.5191333293914795
sweet love,love,0.6733163595199585
sweet love,loving,0.6017516851425171
sweet love,affection,0.5788547396659851
sweet love,sweetness,0.558698832988739
sweet love,romantic,0.5416853427886963
sweet love,sweetheart,0.5409455299377441
sweet love,sweetie,0.5224288105964661
invigorating,invigorate,0.7068600654602051
invigorating,captivating,0.6347980499267578
invigorating,tantalizing,0.6202972531318665
invigorating,pleasurable,0.588106632232666
invigorating,thrilling,0.5849810838699341
invigorating,agonizing,0.5662747621536255
invigorating,riveting,0.5554113388061523
sad lounge,lounge,0.7406498789787292
sad lounge,saloon,0.5032814145088196
when promises are broken,dishonesty,0.5704430937767029
when promises are broken,promise,0.5440532565116882
sunny day,sunshine,0.706026017665863
sunny day,sunny,0.7009925842285156
sunny day,sun,0.5878801345825195
sunny day,sunset,0.5835248231887817
sunny day,cloudy,0.5642232894897461
sunny day,overcast,0.5382030010223389
sunny day,gloomy,0.5165739059448242
brain damage,concussion,0.6623343229293823
brain damage,dementia,0.6479430198669434
brain damage,impairment,0.640062689781189
brain damage,damages,0.6126017570495605
brain damage,damage,0.6102797389030457
brain damage,dismemberment,0.5977783203125
brain damage,psychosis,0.5887882113456726
peace love soul,peace,0.7055497765541077
peace love soul,peaceful,0.5426737666130066
peace love soul,soulless,0.5216546058654785
sadness and the city,melancholy,0.5817833542823792
sadness and the city,sadness,0.5757033228874207
sadness and the city,misery,0.5463129281997681
sadness and the city,sorrow,0.5362210869789124
sadness and the city,desolation,0.5193876028060913
sadness and the city,despair,0.5011070966720581
happy together,happy,0.6756495237350464
happy together,happily,0.6048049926757812
happy together,happiness,0.5739375948905945
happy together,smiling,0.5091956257820129
something sweet,sweetness,0.644582211971283
something sweet,sweets,0.6379668712615967
something sweet,sugar,0.536978006362915
something sweet,chocolate,0.5192391276359558
something sweet,delight,0.5097403526306152
something sweet,gift,0.5080664157867432
sweet and innocent,innocent,0.595384418964386
sweet and innocent,innocence,0.5756725072860718
sweet and innocent,sweetie,0.5696414709091187
sweet and innocent,darling,0.5646111965179443
sweet and innocent,adorable,0.5609143972396851
sweet and innocent,sweetheart,0.5382362008094788
sweet and innocent,precious,0.5300016403198242
everlasting,everlasting,1.0
summer love,love,0.5725191235542297
with love,love,0.6091228127479553
with love,affection,0.5304090976715088
with love,carefully,0.5065980553627014
with love,marriage,0.500934898853302
self-esteem boost,encouragement,0.6022458076477051
self-esteem boost,uplift,0.5846602916717529
self-esteem boost,compliment,0.5053715109825134
province of joy,joy,0.5176355242729187
hell on earth,hell,0.7387465238571167
hell on earth,hellish,0.6020812392234802
hell on earth,purgatory,0.5854759216308594
feel cool,chilly,0.5511124134063721
cursed fear,fear,0.7373809814453125
cursed fear,fearing,0.6752057075500488
cursed fear,fearful,0.6600797772407532
cursed fear,fright,0.6449950933456421
cursed fear,afraid,0.6378129124641418
cursed fear,cursed,0.6183059215545654
cursed fear,frightened,0.6094682812690735
happy dance,dance,0.6002271771430969
happy dance,happy,0.5439574122428894
sad words,sadness,0.5118306279182434
devastating,devastating,1.0000001192092896
feels like home,homesick,0.5958954095840454
i'm so excited,excited,0.5983697175979614
nasty nasty,nasty,0.84067702293396
nasty nasty,filthy,0.6034621000289917
nasty nasty,disgusting,0.5943660736083984
nasty nasty,dirty,0.572838544845581
nasty nasty,unpleasant,0.5679018497467041
nasty nasty,gross,0.5670382380485535
nasty nasty,grimy,0.561110258102417
excite,excite,1.0
good morning mood,cheerful,0.5652025938034058
good morning mood,cheerfulness,0.5250397324562073
good morning mood,morn,0.510459840297699
good morning mood,greeting,0.5080236792564392
awful,awful,0.9999998807907104
super soft,plush,0.5377313494682312
super soft,firmness,0.5348832607269287
super soft,lumpy,0.5162258744239807
bubbly and giggly,puffy,0.6236546039581299
bubbly and giggly,voluptuous,0.5602065324783325
bubbly and giggly,lumpy,0.5584119558334351
bubbly and giggly,excitable,0.5508831143379211
bubbly and giggly,bulbous,0.5468674898147583
bubbly and giggly,boisterous,0.5421386957168579
bubbly and giggly,luscious,0.5337734818458557
unexpected feel good,exhilaration,0.5769917368888855
unexpected feel good,unexpected,0.552328884601593
unexpected feel good,overjoyed,0.5297185182571411
unexpected feel good,happiness,0.5285319089889526
unexpected feel good,delight,0.527962327003479
unexpected feel good,gladness,0.5250332951545715
unexpected feel good,excitement,0.5222725868225098
good energy,energetic,0.6828662753105164
good energy,cheerfulness,0.5695186853408813
good energy,vitality,0.5686494708061218
good energy,enthusiasm,0.5356999635696411
good energy,vigor,0.5289671421051025
good energy,happiness,0.5242524743080139
good energy,spirit,0.5124223828315735
everlasting love,everlasting,0.821596622467041
everlasting love,love,0.6253530979156494
everlasting love,soulmate,0.5804914236068726
everlasting love,undying,0.5721304416656494
everlasting love,inalienable,0.5627151131629944
everlasting love,loving,0.5570160150527954
everlasting love,immortality,0.5443222522735596
pure joy,joy,0.7553118467330933
pure joy,exhilaration,0.6974696516990662
pure joy,delight,0.6591092944145203
pure joy,joyful,0.653183102607727
pure joy,joyous,0.6454873085021973
pure joy,gladness,0.6306605339050293
pure joy,happiness,0.6111897230148315
christmas fun,fun,0.5986545085906982
christmas fun,festive,0.589708149433136
christmas fun,celebrating,0.5250383019447327
christmas fun,holiday,0.5086904764175415
sad evening songs,ballad,0.6164354085922241
sad evening songs,melancholy,0.5353622436523438
not safe for work,safe,0.537055253982544
not safe for work,unsafe,0.5368551015853882
not safe for work,hazardous,0.5057106018066406
swearing is cool,profanity,0.6064844131469727
swearing is cool,cursing,0.6061100363731384
swearing is cool,vulgarity,0.5157964825630188
sad as hell,miserable,0.5336601138114929
sad as hell,tragic,0.5269775986671448
sad as hell,sadness,0.5259427428245544
sad as hell,sorrowful,0.5041614770889282
the word love,love,0.6982258558273315
the word love,lovemaking,0.6005300283432007
the word love,affection,0.5840590000152588
the word love,fondness,0.5839262008666992
the word love,sensuality,0.5821542143821716
the word love,loving,0.5307178497314453
the word love,words,0.5279747247695923
loving you,loving,0.675897479057312
my girl,sweetheart,0.5017537474632263
special love,love,0.6576129198074341
special love,special,0.6145187616348267
special love,affection,0.5989593267440796
special love,loving,0.5920361280441284
special love,adoration,0.5155305862426758
special love,sentimental,0.5151224136352539
special love,fondness,0.514559268951416
bright,brightness,0.708062469959259
bright,brighten,0.6931724548339844
bright,dark,0.574927568435669
bright,vivid,0.5543510317802429
bright,darkened,0.5378490090370178
bright,glowing,0.537549614906311
bright,shine,0.5229508876800537
relaxing reminder,relaxation,0.644411563873291
relaxing reminder,soothing,0.5997380018234253
relaxing reminder,mindfulness,0.52783203125
relaxing reminder,meditate,0.5224553942680359
sweet perfection,perfection,0.8014826774597168
sweet perfection,exquisite,0.6320115923881531
sweet perfection,gorgeous,0.5847042798995972
sweet perfection,perfect,0.5789620876312256
sweet perfection,delightful,0.574712336063385
sweet perfection,heavenly,0.573143482208252
sweet perfection,lovely,0.5567911863327026
let me make you happy,happiness,0.5174799561500549
let me make you happy,happy,0.5163655281066895
the ghetto,ghetto,0.8777427673339844
the ghetto,neighborhood,0.639563262462616
the ghetto,slum,0.6345404982566833
the ghetto,metropolitan,0.5128867030143738
painful,painful,1.0
fun to play,fun,0.6718595027923584
fun to play,entertaining,0.5021181106567383
optimism,optimism,0.9999998807907104
beautifully painful,painful,0.745423436164856
beautifully painful,painfully,0.6908345818519592
beautifully painful,agony,0.6748209595680237
beautifully painful,pain,0.6280674934387207
beautifully painful,exquisitely,0.6216287016868591
beautifully painful,unpleasant,0.5972530841827393
beautifully painful,pained,0.5912607312202454
smooth vibes,smoothness,0.5946043133735657
deep and meaningful,consciousness,0.5063780546188354
deep and meaningful,transcendence,0.5043312311172485
deep and meaningful,truthfulness,0.5011242032051086
summer fun,fun,0.6069324016571045
summer fun,recreation,0.5587173104286194
summer fun,leisure,0.5509160757064819
summer fun,beach,0.541037917137146
summer fun,pastime,0.5375626087188721
summer fun,vacation,0.5316246747970581
summer fun,adventure,0.5188034772872925
perfectly sad,sorrowful,0.6068801879882812
perfectly sad,sadness,0.6063523292541504
perfectly sad,tragic,0.6012133359909058
perfectly sad,miserable,0.5866174101829529
perfectly sad,mournful,0.5807303786277771
perfectly sad,tearful,0.5747699737548828
perfectly sad,depressing,0.5533039569854736
love me,love,0.5669144988059998
love me,adore,0.5165597200393677
love again,rekindle,0.6369235515594482
love again,love,0.5881953239440918
feel good goodies,cheery,0.5851744413375854
feel good goodies,happy,0.5318483114242554
feel good goodies,gladness,0.5275505781173706
feel good goodies,happiness,0.5075104832649231
feel good goodies,jubilant,0.5024918913841248
feel nice and warm,cold,0.5508570075035095
feel nice and warm,coldness,0.5484591722488403
feel nice and warm,comfort,0.5451585054397583
feel nice and warm,chilly,0.5245521664619446
hottie,hot,0.5766360759735107
life is good,happy,0.5164502263069153
oh love,love,0.5278672575950623
jazzy fat nasty,fatty,0.5554412603378296
jazzy fat nasty,fat,0.5338979959487915
jazzy fat nasty,plump,0.5178689360618591
jazzy fat nasty,slimy,0.5010277032852173
flawless,perfection,0.7346882820129395
flawless,superb,0.6678412556648254
flawless,perfect,0.6189171671867371
flawless,magnificent,0.6137940883636475
flawless,exquisite,0.6040123701095581
flawless,outstanding,0.6040096282958984
flawless,terrific,0.5838561058044434
old good wave,waver,0.549473762512207
love you,love,0.5236639380455017
too violent for me,violent,0.697813093662262
too violent for me,violence,0.6146975755691528
too violent for me,brutality,0.5549930930137634
cool trip,trip,0.6479271054267883
cool trip,cool,0.503747284412384
lethal weapons,firearms,0.6163347363471985
lethal weapons,armaments,0.597700834274292
lethal weapons,lethal,0.5827686786651611
lethal weapons,gun,0.5537333488464355
lethal weapons,armament,0.5506626963615417
lethal weapons,gunpowder,0.5435692071914673
lethal weapons,warfare,0.5285627841949463
yummy,delicious,0.6611854434013367
yummy,tasty,0.6571896076202393
yummy,tasteful,0.514633059501648
yummy,delightful,0.5069799423217773
feel so in love,love,0.5560632944107056
confident vibes,confident,0.6643226146697998
confident vibes,confidence,0.5386010408401489
broken hearted,distraught,0.631643533706665
broken hearted,sadness,0.5919693112373352
broken hearted,tearful,0.5918344259262085
broken hearted,broke,0.5798153281211853
broken hearted,heartache,0.57504802942276
broken hearted,disheartened,0.5641294717788696
broken hearted,shattered,0.5630972981452942
makes me happier,happy,0.5244377255439758
glorious,magnificent,0.8015221357345581
glorious,delightful,0.7157663702964783
glorious,exquisite,0.6677728891372681
glorious,marvelous,0.6626334190368652
glorious,splendid,0.6542311310768127
glorious,lovely,0.6358584761619568
glorious,spectacular,0.6334060430526733
exuberant,exuberance,0.8390504121780396
exuberant,excitable,0.7386974096298218
exuberant,jubilant,0.7204660177230835
exuberant,exhilaration,0.6905475854873657
exuberant,boisterous,0.6839208602905273
exuberant,excitement,0.6732926964759827
exuberant,ecstatic,0.6708371639251709
transphobia,xenophobia,0.628964900970459
transphobia,fear,0.6004639863967896
transphobia,intolerance,0.5900751948356628
transphobia,prejudice,0.5761837363243103
transphobia,hatred,0.5529532432556152
transphobia,afraid,0.5420870780944824
transphobia,intolerant,0.5184580087661743
happy love,happy,0.6079606413841248
happy love,love,0.5564185380935669
happy love,loving,0.5416690707206726
happy love,wholesome,0.5231547355651855
my optimist,optimist,0.7407596111297607
my optimist,pessimist,0.6184964776039124
my optimist,optimism,0.5216946601867676
my optimist,pessimism,0.5061396360397339
excitement,excitement,0.9999999403953552
ass kicker,asshole,0.5765302181243896
ass kicker,ass,0.5740274786949158
ass kicker,assailant,0.5433284044265747
ass kicker,aggressor,0.5230636596679688
ass kicker,assassin,0.5046032667160034
ass kicker,kick,0.5042833685874939
scaremongering,scare,0.6170328855514526
scaremongering,disinformation,0.6023399233818054
scaremongering,fearing,0.5710301995277405
scaremongering,intimidation,0.5589224100112915
scaremongering,fear,0.5450275540351868
scaremongering,deceiving,0.5427770614624023
scaremongering,worrying,0.5354841947555542
embarrassing,embarrassing,1.0000001192092896
happy feelings,happiness,0.6720913648605347
happy feelings,happy,0.640296995639801
happy feelings,feeling,0.622566819190979
happy feelings,gladness,0.6120067834854126
happy feelings,cheerfulness,0.5936758518218994
happy feelings,joy,0.5635078549385071
happy feelings,rejoicing,0.5549478530883789
soul so tasty,soulless,0.5787039399147034
soul so tasty,tasty,0.5342291593551636
soul so tasty,delicious,0.5052106380462646
love fats,fatty,0.6611483693122864
love fats,fat,0.6138230562210083
love fats,adipose,0.5177189111709595
something romantic,romantic,0.6710091233253479
something romantic,romance,0.5655267238616943
confidence boost,confidence,0.6351994872093201
confidence boost,confident,0.525562584400177
blessings men,blessings,0.7928272485733032
blessings men,blessing,0.7045769691467285
blessings men,blessed,0.6265422105789185
blessings men,bless,0.5950607657432556
blessings men,praise,0.5493037700653076
grown and sexy,voluptuous,0.5245374441146851
happy times,gladness,0.5072393417358398
completely in love with,smitten,0.5991876721382141
completely in love with,love,0.5530081987380981
completely in love with,loving,0.5061479806900024
great rifts,rift,0.7205232977867126
love love,love,0.8314214944839478
love love,loving,0.6654657125473022
love love,adore,0.6517273187637329
love love,affection,0.5234590172767639
happy birthday,birthday,0.6271842122077942
oh yeah baby,baby,0.603534460067749
feel good vibes,cheerfulness,0.5596556067466736
feel good vibes,happiness,0.5593852400779724
feel good vibes,feeling,0.5240887999534607
feel good vibes,wholesome,0.5113530158996582
short and sweet,succinct,0.6424824595451355
short and sweet,straightforward,0.5150039196014404
pain in my heart,heartache,0.5901663303375244
pain in my heart,angina,0.562889575958252
pain in my heart,endocarditis,0.5508092641830444
pain in my heart,cardiomyopathy,0.5464571118354797
pain in my heart,anguish,0.5165472626686096
pain in my heart,pain,0.5140799283981323
pain in my heart,pains,0.5014671683311462
sad maniac,maniac,0.7071489095687866
sad maniac,maniacal,0.5743340253829956
upbeat good times,cheerfulness,0.6509463787078857
upbeat good times,cheerful,0.6062502264976501
upbeat good times,cheery,0.5436398983001709
upbeat good times,happiness,0.5312936902046204
upbeat good times,joy,0.5213899612426758
upbeat good times,enthusiasm,0.5169582962989807
