spotify_id,name,artist,genre,album,release_date,popularity,preview_url,cover_image
1Y373MqadDRtclJNdnUXVc,Paranoid - 2012 - Remaster,Black Sabbath,alternative,Paranoid (Remaster),1970-09-18,77,https://p.scdn.co/mp3-preview/c5efbed38649f0676181dc6bb6e3c8644925726e?cid=d73a252b6bb3490ea9fee369aed6d95a,https://i.scdn.co/image/ab67616d0000b273d5fccf9ce08b6a1e7d12a222
1r1fPuhj9H4VdXr7OK6FL5,CASTLE OF GLASS,Linkin Park,alternative,LIVING THINGS,2012-06-20,77,https://p.scdn.co/mp3-preview/4a1db9ba57b75cd319509e90d45045668ed3a575?cid=d73a252b6bb3490ea9fee369aed6d95a,https://i.scdn.co/image/ab67616d0000b273987fb4c5ec8790e9f637a4a4
7w6PJe5KBPyvuRYxFkPssC,No More Tears,Ozzy Osbourne,alternative,No More Tears (Expanded Edition),1991-09-17,76,https://p.scdn.co/mp3-preview/ae9f4164e51e875e0e46fd26d5a87387003f8c45?cid=d73a252b6bb3490ea9fee369aed6d95a,https://i.scdn.co/image/ab67616d0000b273c2b61984b54ad58c8d6fdd19
73CKjW3vsUXRpy3NnX4H7F,Fake Plastic Trees,Radiohead,alternative,The Bends,1995-03-13,76,https://p.scdn.co/mp3-preview/3ee9bf807973f08aeb2e2b7578e0e4b8e58e513e?cid=d73a252b6bb3490ea9fee369aed6d95a,https://i.scdn.co/image/ab67616d0000b2739293c743fa542094336c5e12
4fPBB44eDH71YohayI4eKV,You Only Live Once,The Strokes,alternative,First Impressions Of Earth,2006-01-03,76,https://p.scdn.co/mp3-preview/4e65165f1a88d641bec5f181ffb8ba4d516a9c39?cid=d73a252b6bb3490ea9fee369aed6d95a,https://i.scdn.co/image/ab67616d0000b2736898a982ff3c6049ba52586c
1Eolhana7nKHYpcYpdVcT5,Little Wing,Jimi Hendrix,alternative,Axis: Bold As Love,1967-12-01,75,https://p.scdn.co/mp3-preview/48aa97d5b07d401bc8e2bc11acdb82c54cb6c374?cid=d73a252b6bb3490ea9fee369aed6d95a,https://i.scdn.co/image/ab67616d0000b27319dcd95d28b63d10164327f2
2RaA6kIcvomt77qlIgGhCT,Breaking the Law,Judas Priest,alternative,British Steel,1980,75,https://p.scdn.co/mp3-preview/2cb1d059304223a0ad3603e7f7d60dcfc6de3e7f?cid=d73a252b6bb3490ea9fee369aed6d95a,https://i.scdn.co/image/ab67616d0000b273be0e5ebab8c61469b1ff9f62
33iv3wnGMrrDugd7GBso1z,My Own Worst Enemy,Lit,alternative,A Place In The Sun,1999-02-22,75,https://p.scdn.co/mp3-preview/6d366fc2ea5ec2146aebc3a6ace5687a87148ba8?cid=d73a252b6bb3490ea9fee369aed6d95a,https://i.scdn.co/image/ab67616d0000b2737b40b2abdbcb8520874f29ed
56KqaFSGTb7ifpt16t5Y1N,Rock the Casbah - Remastered,The Clash,alternative,Combat Rock (Remastered),1982,75,https://p.scdn.co/mp3-preview/12e4111ac765fe7cfe64b004ce2c7b7dd5f2c2c9?cid=d73a252b6bb3490ea9fee369aed6d95a,https://i.scdn.co/image/ab67616d0000b27325a4df452a3c42ccc2e9288b
5jzma6gCzYtKB1DbEwFZKH,London Calling - Remastered,The Clash,alternative,London Calling (Remastered),1979,75,https://p.scdn.co/mp3-preview/e017f75aa679e1989ca496460feb401959638f3d?cid=d73a252b6bb3490ea9fee369aed6d95a,https://i.scdn.co/image/ab67616d0000b273cd9d8bc9ef04014b6e90e182
15BQ7vEDv2LJuh8TxWIhtd,The Passenger,Iggy Pop,alternative,Lust For Life,1977-08-29,74,,https://i.scdn.co/image/ab67616d0000b2734aa5f679427e35409a06f225
4IvZLDtwBHmBmwgDIUbuwa,Here Comes Your Man,Pixies,alternative,Doolittle,1989-04-17,74,https://p.scdn.co/mp3-preview/56050381c4ac456f6edc9d0ef491582182de0776?cid=d73a252b6bb3490ea9fee369aed6d95a,https://i.scdn.co/image/ab67616d0000b2730ab3c2a306c614fae36ff1d6
5PntSbMHC1ud6Vvl8x56qd,Loser,Beck,alternative,Mellow Gold,1994-03-01,74,,https://i.scdn.co/image/ab67616d0000b273b07e5a0787e609bc1f1270f8
7jIAttgQTpLDoNtykIQXjH,Blister In The Sun,Violent Femmes,alternative,Violent Femmes,1983-01-01,74,,https://i.scdn.co/image/ab67616d0000b27354096a7f898de0233d76f626
5NoQvINZLBV1wMYPdNmReL,I Wanna Be Sedated,Ramones,alternative,Road to Ruin (40th Anniversary Deluxe Edition),1978,74,https://p.scdn.co/mp3-preview/eaf8671523f5977ab7b6528b338ca960a9ccd1b7?cid=d73a252b6bb3490ea9fee369aed6d95a,https://i.scdn.co/image/ab67616d0000b273072ee11a51e23f861c54cef9
0wJoRiX5K5BxlqZTolB2LD,Purple Haze,Jimi Hendrix,alternative,Are You Experienced,1967-05-12,74,https://p.scdn.co/mp3-preview/6e9c88e26bb556ad9329c456318b3d1e4eac4542?cid=d73a252b6bb3490ea9fee369aed6d95a,https://i.scdn.co/image/ab67616d0000b273c9adfbd773852e286faed040
5ynxx6zC4dgzsMHLYQ04Dc,Remedy,Seether,alternative,Karma and Effect,2005-01-01,74,,https://i.scdn.co/image/ab67616d0000b273c66ad69a4c9fec63e6f49a3a
62nQ8UZVqR2RMvkJHkcO2o,Jeremy,Pearl Jam,alternative,Ten,1991-08-27,74,https://p.scdn.co/mp3-preview/eb631e615c64a62eca65506070d09fbc0a978dcd?cid=d73a252b6bb3490ea9fee369aed6d95a,https://i.scdn.co/image/ab67616d0000b273d400d27cba05bb0545533864
1ibeKVCiXORhvUpMmtsQWq,Pieces,Sum 41,alternative,Chuck,2004-10-12,73,,https://i.scdn.co/image/ab67616d0000b273cb38dd3dba8a0801bc1ee03a
0NWPxcsf5vdjdiFUI8NgkP,Hey Joe,Jimi Hendrix,alternative,Are You Experienced,1967-05-12,72,https://p.scdn.co/mp3-preview/513fb471097b3e1c3033be20b1db1661968855d4?cid=d73a252b6bb3490ea9fee369aed6d95a,https://i.scdn.co/image/ab67616d0000b273c9adfbd773852e286faed040
47EqCQZG5v4o0WFMufGf5S,Cigaro,System Of A Down,alternative,Mezmerize,2005-05-17,72,https://p.scdn.co/mp3-preview/4b919c1da6c7ed11b8cc64a4346c9158b501370b?cid=d73a252b6bb3490ea9fee369aed6d95a,https://i.scdn.co/image/ab67616d0000b273c65f8d04502eeddbdd61fa71
3bE5slaVEfaDreqARl6k4M,Yellow Ledbetter,Pearl Jam,alternative,Jeremy,1991,72,https://p.scdn.co/mp3-preview/3d6b924ec1e3a08c7eae07e0bcf4bce2835faa4e?cid=d73a252b6bb3490ea9fee369aed6d95a,https://i.scdn.co/image/ab67616d0000b2738df1fdc14be33eb2c991d60f
1lATXTBJDHwawvT1UfxWu3,The Pot,TOOL,alternative,"10,000 Days",2006-04-28,72,https://p.scdn.co/mp3-preview/a45b0ce705be1b532a8e468a2888b2e261298d5d?cid=d73a252b6bb3490ea9fee369aed6d95a,https://i.scdn.co/image/ab67616d0000b273781369aabc39c792cc55604f
3zwmW1gM4E8FlHXV5nE16u,Be Yourself,Audioslave,alternative,Out of Exile,2005-01-01,72,,https://i.scdn.co/image/ab67616d0000b27307301dd5fedf5ad64cde4882
6DoXuH326aAYEN8CnlLmhP,7 Words,Deftones,alternative,Adrenaline,1995-09-29,72,https://p.scdn.co/mp3-preview/b4fd4dcaf2997eb05a8706dd9fc14fbf2c126013?cid=d73a252b6bb3490ea9fee369aed6d95a,https://i.scdn.co/image/ab67616d0000b273e0aa988082afc4ea586ab8dc
0u5aO1GYsIhAWCPuXdwnak,Today - 2011 Remaster,The Smashing Pumpkins,alternative,Siamese Dream (Deluxe Edition),1993,71,,https://i.scdn.co/image/ab67616d0000b2735274788f34fc7656d2856dfd
0S3gpZzlT9Hb7CCSV2owX7,"Mama, I'm Coming Home",Ozzy Osbourne,alternative,No More Tears (Expanded Edition),1991-09-17,71,https://p.scdn.co/mp3-preview/c278e697ce9fc1e9725210e9bbb2ca624cd39798?cid=d73a252b6bb3490ea9fee369aed6d95a,https://i.scdn.co/image/ab67616d0000b273c2b61984b54ad58c8d6fdd19
2Iq6HhIquO7JKr0KfTNLzU,My Type,Saint Motel,alternative,My Type EP,2014-08-16,71,https://p.scdn.co/mp3-preview/c757c40d4c35e003ed74a79cc84c1ccc5c264005?cid=d73a252b6bb3490ea9fee369aed6d95a,https://i.scdn.co/image/ab67616d0000b273500a95f36178e1c86a835077
7hm4HTk9encxT0LYC0J6oI,Someday,The Strokes,alternative,Is This It,2001-07-30,71,https://p.scdn.co/mp3-preview/241189aa54503d502d3e06cf6996a87a27f73a81?cid=d73a252b6bb3490ea9fee369aed6d95a,https://i.scdn.co/image/ab67616d0000b27313f2466b83507515291acce4
51TG9W3y9qyO8BY5RXKgnZ,Symphony Of Destruction,Megadeth,alternative,Countdown To Extinction (Expanded Edition - Remastered),1992-07-14,71,,https://i.scdn.co/image/ab67616d0000b2737b178f928742be1492c6fba2
0c4IEciLCDdXEhhKxj4ThA,Madness,Muse,alternative,The 2nd Law,2012-09-24,70,https://p.scdn.co/mp3-preview/f84cc7df257a52a7cf91fc166cd59c377ac32331?cid=d73a252b6bb3490ea9fee369aed6d95a,https://i.scdn.co/image/ab67616d0000b273fc192c54d1823a04ffb6c8c9
4dk40nfaQav6b4ZsJ9OYUo,Love My Way,The Psychedelic Furs,alternative,Forever Now,1982,70,https://p.scdn.co/mp3-preview/d45f17168f0f703469ad6e08702b93531328996f?cid=d73a252b6bb3490ea9fee369aed6d95a,https://i.scdn.co/image/ab67616d0000b2730faf6c6f66c3ba57e7dbf33b
6olS0TmHmsGr0hXtcBsiVM,A Tout Le Monde - Remastered 2004,Megadeth,alternative,Youthanasia (Expanded Edition - Remastered),1994-10-28,70,,https://i.scdn.co/image/ab67616d0000b2733171798d5cfc745f0ba24c84
07xFWwKPOApMS56ildsV0G,Twist,Korn,alternative,Life Is Peachy,1996-10-15,70,https://p.scdn.co/mp3-preview/dffb0744f3b994e0f66b610af5391a51db23d798?cid=d73a252b6bb3490ea9fee369aed6d95a,https://i.scdn.co/image/ab67616d0000b273ad4ca82999655cfc56c86828
35SRuRfp5BvD1yArmXKNHO,I Just Threw Out The Love Of My Dreams,Weezer,alternative,Pinkerton - Deluxe Edition,1996-09-24,70,,https://i.scdn.co/image/ab67616d0000b273b34530ac4a80275e3ff2faab
1B241LRKmK6qDDTZfUajmm,Cocoon,Catfish and the Bottlemen,alternative,The Balcony,2014-09-15,70,,https://i.scdn.co/image/ab67616d0000b273b87da477ad10e87b09b88d1e
0fxpHpK3aw2nFWII6yveDD,"10,000 Reasons (Bless The Lord) - Live",Matt Redman,alternative,"10,000 Reasons (Live)",2011-01-01,70,,https://i.scdn.co/image/ab67616d0000b273452e18e0a213a15cb09908f2
2AxCeJ6PSsBYiTckM0HLY7,Voodoo Child (Slight Return),Jimi Hendrix,alternative,Electric Ladyland,1968-10-25,70,https://p.scdn.co/mp3-preview/9a4434bb29956cd4097053fcb56bef39acdf331e?cid=d73a252b6bb3490ea9fee369aed6d95a,https://i.scdn.co/image/ab67616d0000b273522088789d49e216d9818292
3mhOmh4tRKsMfnRmgZfeBm,Far Behind,Candlebox,alternative,Candlebox,1993-07-16,70,https://p.scdn.co/mp3-preview/6c3ff3bac221e951b49fd2ec8957b303e2bf09d1?cid=d73a252b6bb3490ea9fee369aed6d95a,https://i.scdn.co/image/ab67616d0000b273dbb1223a6220632f14872c46
5ZdzNVOmCSp5HFLk0EgvJS,Dirty Little Secret,The All-American Rejects,alternative,Move Along,2005-01-01,69,,https://i.scdn.co/image/ab67616d0000b2734d54e4f290fe5c08c66ebc0e
2yYASbXnAV71CLbNY1HCWf,The Bitter End,Placebo,alternative,Sleeping With Ghosts,2003-03-24,69,https://p.scdn.co/mp3-preview/e0c38f7a986b4d2ed5218aeb020fe9a7795e7a18?cid=d73a252b6bb3490ea9fee369aed6d95a,https://i.scdn.co/image/ab67616d0000b2739b2e4db4b78ab31b5d55f2fc
769cLRTw2y6KRdkFWFkxtu,Domination,Pantera,alternative,Cowboys from Hell,1990-07-20,69,https://p.scdn.co/mp3-preview/edd450b09d04f8edfb75b78074f72d75872b51ee?cid=d73a252b6bb3490ea9fee369aed6d95a,https://i.scdn.co/image/ab67616d0000b2730ce52f4ba340a1e459e6a978
3IOQZRcEkplCXg6LofKqE9,Iron Man - 2012 - Remaster,Black Sabbath,alternative,Paranoid (Remaster),1970-09-18,69,https://p.scdn.co/mp3-preview/4edd9b0a7f365876d12d01f0e790a761422b89a5?cid=d73a252b6bb3490ea9fee369aed6d95a,https://i.scdn.co/image/ab67616d0000b273d5fccf9ce08b6a1e7d12a222
11607FzqoipskTsXrwEHnJ,Sunday Morning,The Velvet Underground,alternative,The Velvet Underground & Nico 45th Anniversary,1967-03-12,69,,https://i.scdn.co/image/ab67616d0000b27398260c528e6eec9dd431c1d7
5cxp9kjCFyJwzv3lzeX7ku,Inside the Fire,Disturbed,alternative,Indestructible (Deluxe Edition),2008-04-29,69,https://p.scdn.co/mp3-preview/06affc3cdac63624c3796868a0a42c3a0a3b52a1?cid=d73a252b6bb3490ea9fee369aed6d95a,https://i.scdn.co/image/ab67616d0000b2731aeed60b435be44dd68a57a3
3tSmXSxaAnU1EPGKa6NytH,In the End,Linkin Park,alternative,Hybrid Theory,2000,69,https://p.scdn.co/mp3-preview/40d41971c056daf99908b1dd1792b7f7b8e9c06d?cid=d73a252b6bb3490ea9fee369aed6d95a,https://i.scdn.co/image/ab67616d0000b2736741ca6e9ba6fdc166037321
1yc53HK08sDab7PDFgnLWk,Laid to Rest,Lamb of God,alternative,Ashes of the Wake (15th Anniversary),2004-08-31,69,https://p.scdn.co/mp3-preview/245fc68bb13e55052f48452d606f9c52968b6f6d?cid=d73a252b6bb3490ea9fee369aed6d95a,https://i.scdn.co/image/ab67616d0000b273b12877d8bdfaa0f19b4624fa
6xtQ23d8GEXgcxyUKPtwc5,Runaway,Linkin Park,alternative,Hybrid Theory (Bonus Edition),2000,69,https://p.scdn.co/mp3-preview/f46c6f8ff5980ae29cfcbb252fcf599daf1b9870?cid=d73a252b6bb3490ea9fee369aed6d95a,https://i.scdn.co/image/ab67616d0000b273e2f039481babe23658fc719a
7wpYSigAhQeZp3cdsMQ3Af,Glycerine,Bush,alternative,Sixteen Stone (Remastered),2014-10-14,69,https://p.scdn.co/mp3-preview/17be81087b5e5c088d5285b62508192456570bd1?cid=d73a252b6bb3490ea9fee369aed6d95a,https://i.scdn.co/image/ab67616d0000b273b915466e715e0bf6c3da35a1
2fdfsGuqb6SBX5ocoBWHUd,The One I Love - Remastered 2012,R.E.M.,alternative,Document - 25th Anniversary Edition,1987-09-01,69,,https://i.scdn.co/image/ab67616d0000b273135322c78a93ff9b1f392c3a
2rd9ETlulTbz6BYZcdvIE1,War Pigs / Luke's Wall - 2012 - Remaster,Black Sabbath,alternative,Paranoid (Remaster),1970-09-18,68,https://p.scdn.co/mp3-preview/05dbcf53486767cb5a34e42f7a8e0ba74414f39f?cid=d73a252b6bb3490ea9fee369aed6d95a,https://i.scdn.co/image/ab67616d0000b273d5fccf9ce08b6a1e7d12a222
5Bpc360LNUScK53FrM8nvB,Hole in the Earth,Deftones,alternative,Saturday Night Wrist,2006-10-25,68,https://p.scdn.co/mp3-preview/f2b2665b9b258989f491164c7c2ec35335201b2d?cid=d73a252b6bb3490ea9fee369aed6d95a,https://i.scdn.co/image/ab67616d0000b273c869fa3b4e0ce4dd9818a40e
1Jrt2fqQm5JEKlAPMYG2nD,Live Wire,Mötley Crüe,alternative,Too Fast For Love,1981-11-10,68,https://p.scdn.co/mp3-preview/53f6ecf438d0d19e6ca398d2d7ca0cd5b35eebb8?cid=d73a252b6bb3490ea9fee369aed6d95a,https://i.scdn.co/image/ab67616d0000b27352bfce7a3eeee7ae9de15c3e
0W7AbEauB7cP4pidLclApe,Hunger Strike,Temple Of The Dog,alternative,Temple Of The Dog,1990-01-01,68,,https://i.scdn.co/image/ab67616d0000b273483c3d93af76b1f635f9dc7d
6crBy2sODw2HS53xquM6us,Tribute,Tenacious D,alternative,Tenacious D,2001-09-25,68,https://p.scdn.co/mp3-preview/0b516801ec0a770edee38f4436ae26cbbc3c0e5f?cid=d73a252b6bb3490ea9fee369aed6d95a,https://i.scdn.co/image/ab67616d0000b273ee0285c63a334af9b91fa12b
7FRfYOql61DGDp9VPPe2qA,Down In A Hole (2022 Remaster),Alice In Chains,alternative,Dirt (2022 Remaster),1992-09-29,68,https://p.scdn.co/mp3-preview/15e0e2125735892038a1f8f7c44b63ff631976bf?cid=d73a252b6bb3490ea9fee369aed6d95a,https://i.scdn.co/image/ab67616d0000b2731cd131e5e9ad887ad8c1ecb7
4tvBoSWeIW0bjhKNre5mod,Thunder Kiss '65,White Zombie,alternative,La Sexorcisto: Devil Music Volume 1,1992-01-01,68,,https://i.scdn.co/image/ab67616d0000b273321b697c2c9474c0951ac58f
0AxZUYeQ9bZwSdt1LmZuok,Heaven or Las Vegas,Cocteau Twins,alternative,Heaven or Las Vegas,1990-09-17,68,https://p.scdn.co/mp3-preview/697398e5bc187f498347021f875a66a40e44307f?cid=d73a252b6bb3490ea9fee369aed6d95a,https://i.scdn.co/image/ab67616d0000b2735d2fdd1564ccab97e60c656f
4f3RDq9nYPBeR1yMSgnmBm,You've Got Another Thing Coming,Judas Priest,alternative,Screaming For Vengeance (Expanded Edition),1982,68,https://p.scdn.co/mp3-preview/e49f3077ccea0edfbd6bf82a4c08c40e940b5e51?cid=d73a252b6bb3490ea9fee369aed6d95a,https://i.scdn.co/image/ab67616d0000b273475bd4fb40ba687fbf002c82
1KdwPeY1WRWQGHCmRJTveb,Cannonball,The Breeders,alternative,Last Splash,1993-08-30,68,https://p.scdn.co/mp3-preview/eca7033266b0585faf8ced3f7ad1c9cd34f637b4?cid=d73a252b6bb3490ea9fee369aed6d95a,https://i.scdn.co/image/ab67616d0000b273fbf772eed6abce36ddf9233c
6BT7qiDY4A5tOyklohjQuW,Monkey Gone to Heaven,Pixies,alternative,Doolittle,1989-04-17,68,https://p.scdn.co/mp3-preview/169134281de9b74f7f63591fbb8628c79ded4386?cid=d73a252b6bb3490ea9fee369aed6d95a,https://i.scdn.co/image/ab67616d0000b2730ab3c2a306c614fae36ff1d6
5lHgBqh9VwAAzQma55gHRY,Elderly Woman Behind the Counter in a Small Town - Remastered,Pearl Jam,alternative,Vs.,1993-10-19,67,https://p.scdn.co/mp3-preview/cef5b25f0f41ac6c3923c7e5f5a8ca0c50fa6722?cid=d73a252b6bb3490ea9fee369aed6d95a,https://i.scdn.co/image/ab67616d0000b273777344aba9d5b5785b4593a5
5a2hIQWInPjqkkFiUEgxoX,Peace Sells - Remastered,Megadeth,alternative,Peace Sells...But Who's Buying (Deluxe Edition - Remastered),1986,67,,https://i.scdn.co/image/ab67616d0000b2730f783e735d0f43f071109a90
7c1Dar0pIAW7w5TzaGjt9t,Jane Says,Jane's Addiction,alternative,Nothing's Shocking,1988-08-23,67,https://p.scdn.co/mp3-preview/5f5344bc168a18229c9d0ae3f663b5645efe55f9?cid=d73a252b6bb3490ea9fee369aed6d95a,https://i.scdn.co/image/ab67616d0000b2738765ac8eae3b054a1750419d
0D2A4Rid7gnlcwlspLTkx0,Staring At The Sun,The Offspring,alternative,Americana,1998-11-16,67,,https://i.scdn.co/image/ab67616d0000b273cbd2ee7dff77bfb2b5f0af52
4VbDJMkAX3dWNBdn3KH6Wx,Helena Beat,Foster The People,alternative,Torches,2011-05-23,67,https://p.scdn.co/mp3-preview/3e9398063b1dcd2dd3d2c1e4ff57284022a0981f?cid=d73a252b6bb3490ea9fee369aed6d95a,https://i.scdn.co/image/ab67616d0000b273121d5f92cf90576907dfb1e5
300DUx4tdtCdGEUXR032jA,"Palace/Curse (feat. Tyler, The Creator & Steve Lacy)",The Internet,alternative,Ego Death,2015-06-26,67,https://p.scdn.co/mp3-preview/01bd90753d380a512045134303a5e1f5a12de381?cid=d73a252b6bb3490ea9fee369aed6d95a,https://i.scdn.co/image/ab67616d0000b2731c1c33c63cdbcb5788975a93
33HRECrmuelZxOpid6XTNX,Alison,Slowdive,alternative,Souvlaki,1993,67,https://p.scdn.co/mp3-preview/4ae39b2954d3485b077e88071f27ae3cd672be32?cid=d73a252b6bb3490ea9fee369aed6d95a,https://i.scdn.co/image/ab67616d0000b273f6e31941d10e4819d290af41
50Re2bLgXqG9qN7v2QHNTm,Outside,Staind,alternative,Break the Cycle,2001-05-22,67,https://p.scdn.co/mp3-preview/dc571b1ba19ba798a28855543734968516fea44b?cid=d73a252b6bb3490ea9fee369aed6d95a,https://i.scdn.co/image/ab67616d0000b273437a8cfd8293ddf6d800c384
2aC8wwfrM0YeTAzzk8hxqC,Disco 2000,Pulp,alternative,Different Class,1995-10-30,66,,https://i.scdn.co/image/ab67616d0000b273fd952bece8f049dbcd7df93f
24tO365YW6lcZr1hN4Ukzj,Tomorrow,Silverchair,alternative,Frogstomp (Deluxe Edition) [Remastered],1995-03-27,66,https://p.scdn.co/mp3-preview/a2b8a3af3004d70311bd67d526db72e554443cfc?cid=d73a252b6bb3490ea9fee369aed6d95a,https://i.scdn.co/image/ab67616d0000b27372c3447a562fc7be1c8e1255
40lKptao1hxVqA7fd1OOGp,Our God,Chris Tomlin,alternative,And If Our God Is For Us...,2010-01-01,66,,https://i.scdn.co/image/ab67616d0000b273ce46f9bac5f5b5141ff29f4c
21YxK0klhpfLW8budkJaMF,Lust For Life,Iggy Pop,alternative,Lust For Life,1977-08-29,66,,https://i.scdn.co/image/ab67616d0000b2734aa5f679427e35409a06f225
